Netilmicin,0,0,0,0,0,0,9,1405,2583,1286,344,95,108,76,44,20,2,3,0,4,5975,(2),1.000 - 4.000
Nitrofurantoin,0,0,0,0,0,0,0,0,0,1,15,155,1304,2068,338,97,17,5,0,10,4000,64,
Norfloxacin,0,0,0,24,116,433,51,3,24,1,0,0,0,0,1,1,0,0,0,2,654,ID,
Ofloxacin,0,0,0,8,275,1878,629,82,110,135,33,12,131,94,290,3,0,0,0,5,3680,0.25,0.06 - 0.25
Omadacycline,0,0,0,0,0,0,30,1069,8221,6520,3028,1044,15,17,2,201,0,0,0,6,20147,4,1 - 8
Piperacillin,0,0,0,0,0,6,16,38,314,4833,6891,1218,388,776,1335,1140,1185,2043,1295,15,21478,8,
Piperacillin-tazobactam,0,0,8,6,9,47,105,221,2978,16380,20925,5517,1917,1239,815,538,765,236,89,83,51795,8,
Sitafloxacin,2,10,57,26,25,23,12,15,6,26,22,12,2,2,0,0,0,0,0,5,240,0.03,0.004 - 0.06
Sparfloxacin,0,0,69,227,203,36,12,16,8,5,1,1,4,5,9,2,0,0,0,2,598,-,
Spectinomycin,0,0,0,0,0,0,0,0,0,0,0,7,132,2071,342,200,357,581,0,15,3690,64,
Streptomycin,0,0,0,0,0,0,0,0,0,76,586,2269,3099,1028,446,1085,1124,166,38,26,9917,16,
Sulbactam,0,0,0,0,0,0,0,0,3,1,0,0,8,51,395,109,35,11,16,1,629,-,
Sulfamethoxazole,0,0,0,0,0,0,0,0,0,0,24,62,250,477,254,42,6,2,318,1,1435,-,
Temocillin,0,0,0,0,0,0,2,1,18,156,532,1524,1840,873,358,146,142,79,31,36,5702,16,
Tetracycline,0,0,0,0,0,0,2,20,321,3471,7559,1041,103,660,1245,561,1382,905,6,66,17276,8,
Ticarcillin,0,0,0,0,0,0,0,0,0,988,3771,4618,1328,5328,232,154,192,15414,0,1,32025,-,
Ticarcillin-clavulanic acid,0,0,0,0,0,0,0,0,1,4476,10103,8719,5597,15019,3600,4607,2706,1991,0,3,56819,(16),
Tigecycline,0,0,190,170,725,17910,46735,30621,9804,2725,825,40,6,13,2,1,0,0,0,34,109767,0.5,
Tobramycin,0,0,0,2,7,14,103,1107,9173,12724,4422,922,472,363,262,141,14,9,70,37,29805,4,1 - 4
Trimethoprim,0,0,0,0,0,85,292,1012,1956,866,146,53,21,214,471,0,2,6,205,14,5329,2,1 - 4
Trimethoprim-sulfamethoxazole,0,0,4,41,506,2324,1564,649,373,116,32,12,3,2,1224,602,19,0,0,9,7471,0.5,0.125 - 1
